strategic_direction,delta,n_runs,n_support_pairs,support_pair_rate,mean_X_level,mean_DeltaP_level,mean_immediate_midprice_level,mean_future_midprice_level,mean_local_treatment_difference,mean_local_immediate_level_difference,immediate_level_effect_ci95_low,immediate_level_effect_ci95_high,beta_exec_immediate_pool_hat,beta_exec_immediate_pool_ci95_low,beta_exec_immediate_pool_ci95_high,mean_local_level_difference,level_effect_ci95_low,level_effect_ci95_high,beta_exec_level_pool_hat,beta_exec_level_pool_ci95_low,beta_exec_level_pool_ci95_high,mean_local_outcome_difference,local_outcome_ci95_low,local_outcome_ci95_high,beta_exec_pool_hat,beta_exec_pool_ci95_low,beta_exec_pool_ci95_high
buy,-3.0,2,1,0.5,-5.5,0.0,1001.5,1001.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buy,-2.0,2,0,0.0,-6.0,0.0,1001.5,1001.5,0.0,0.25,,,,,,0.0,,,,,,0.0,,,,,
buy,-1.0,2,0,0.0,-6.0,0.0,1001.25,1001.5,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,
buy,0.0,2,0,0.0,-6.0,0.0,1001.25,1001.5,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,
buy,1.0,2,0,0.0,-6.0,0.0,1001.0,1001.5,0.0,-0.25,,,,,,0.0,,,,,,0.0,,,,,
buy,2.0,2,0,0.0,-6.0,0.5,1001.0,1002.0,0.0,-0.25,,,,,,0.5,,,,,,0.5,,,,,
buy,3.0,2,0,0.0,-6.0,0.5,1001.0,1002.0,0.0,-0.25,,,,,,0.5,,,,,,0.5,,,,,
sell,-3.0,76,74,0.9736842105263158,-2.223684210526316,-0.5592105263157895,998.2565789473684,997.7302631578947,2.6447368421052633,0.13157894736842105,0.08108108108108109,0.17567567567567569,0.03751803751803752,0.02183384452762182,0.05662589233275003,0.10526315789473684,0.02027027027027027,0.1891891891891892,0.020202020202020204,-0.008200452747580786,0.0477299412826721,0.10526315789473684,0.02027027027027027,0.1891891891891892,0.020202020202020204,-0.008200452747580786,0.0477299412826721
sell,-2.0,76,63,0.8289473684210527,-3.3157894736842106,-0.6052631578947368,998.1842105263158,997.6842105263158,1.5526315789473684,0.05921052631578947,0.023809523809523808,0.10317460317460317,0.027573529411764705,0.011027399098325463,0.04826416299464626,0.05921052631578947,0.007936507936507936,0.14285714285714285,0.014705882352941176,-0.028148033046577633,0.05776892430278884,0.05921052631578947,0.007936507936507936,0.14285714285714285,0.014705882352941176,-0.028148033046577633,0.05776892430278884
sell,-1.0,76,66,0.868421052631579,-4.118421052631579,-0.6118421052631579,998.1447368421053,997.6776315789474,0.75,0.019736842105263157,0.0,0.05303030303030303,0.004,-0.009805534055727554,0.0196078431372549,0.05263157894736842,-0.03787878787878788,0.10606060606060606,-0.04,-0.11494455237170147,0.057296156609195376,0.05263157894736842,-0.03787878787878788,0.10606060606060606,-0.04,-0.11494455237170147,0.057296156609195376
sell,0.0,76,0,0.0,-4.868421052631579,-0.6644736842105263,998.125,997.625,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,
sell,1.0,76,66,0.868421052631579,-5.671052631578948,-0.7039473684210527,998.1052631578947,997.5855263157895,-0.8026315789473685,-0.019736842105263157,-0.05303030303030303,0.0,-0.004273504273504274,-0.03170807250912885,0.021743897787948104,-0.039473684210526314,-0.09090909090909091,0.007575757575757576,-0.004273504273504274,-0.05392488076311606,0.04854368932038835,-0.039473684210526314,-0.09090909090909091,0.007575757575757576,-0.004273504273504274,-0.05392488076311606,0.04854368932038835
sell,2.0,76,64,0.8421052631578947,-6.447368421052632,-0.7368421052631579,998.0592105263158,997.5526315789474,-1.5789473684210527,-0.06578947368421052,-0.109375,-0.0234375,0.010638297872340425,-0.005436275680840898,0.029299747242647042,-0.07236842105263158,-0.125,0.0078125,0.015957446808510637,-0.015200770941783414,0.05235113570916853,-0.07236842105263158,-0.125,0.0078125,0.015957446808510637,-0.015200770941783414,0.05235113570916853
sell,3.0,76,64,0.8421052631578947,-7.184210526315789,-0.8092105263157895,998.0263157894736,997.4802631578947,-2.3157894736842106,-0.09868421052631579,-0.140625,-0.0390625,0.023636363636363636,0.009157509157509158,0.04008095482008793,-0.14473684210526316,-0.2109375,-0.0625,0.046363636363636364,0.02023570020335284,0.07578802339463885,-0.14473684210526316,-0.2109375,-0.0625,0.046363636363636364,0.02023570020335284,0.07578802339463885
