delta,step_ahead,clock_ahead,n_runs,mean_response_vs_baseline,mean_level_effect_vs_baseline,response_ci95_low,response_ci95_high,mean_level_delta_p,level_delta_p_ci95_low,level_delta_p_ci95_high,mean_baseline_delta_p
-3.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.0,1,15.0,78,0.10256410256410256,0.10256410256410256,0.019230769230769232,0.1858974358974359,-0.5448717948717948,-0.6474358974358975,-0.4423076923076923,-0.6474358974358975
-3.0,2,30.0,78,0.019230769230769232,0.019230769230769232,-0.04487179487179487,0.08333333333333333,-1.0512820512820513,-1.1666666666666667,-0.9294871794871795,-1.0705128205128205
-3.0,3,45.0,78,-0.019230769230769232,-0.019230769230769232,-0.11538461538461539,0.07051282051282051,-1.564102564102564,-1.6923076923076923,-1.4293269230769239,-1.544871794871795
-3.0,4,60.0,74,0.0,0.0,-0.0945945945945946,0.10135135135135136,-1.9527027027027026,-2.081081081081081,-1.8108108108108107,-1.9527027027027026
-3.0,5,75.0,62,-0.04838709677419355,-0.04838709677419355,-0.18548387096774194,0.07258064516129033,-2.346774193548387,-2.532258064516129,-2.129032258064516,-2.2983870967741935
-3.0,6,90.0,44,0.06818181818181818,0.06818181818181818,-0.045454545454545456,0.18181818181818182,-2.715909090909091,-2.9545454545454546,-2.397727272727273,-2.784090909090909
-3.0,7,105.0,39,0.02564102564102564,0.02564102564102564,-0.1157051282051282,0.1794871794871795,-3.1025641025641026,-3.3974358974358974,-2.7435897435897436,-3.128205128205128
-3.0,8,120.0,35,-0.11428571428571428,-0.11428571428571428,-0.3142857142857143,0.08571428571428572,-3.585714285714286,-3.7714285714285714,-3.4,-3.4714285714285715
-3.0,9,135.0,28,-0.14285714285714285,-0.14285714285714285,-0.39285714285714285,0.10714285714285714,-3.625,-3.8214285714285716,-3.4285714285714284,-3.482142857142857
-2.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,1,15.0,78,0.057692307692307696,0.057692307692307696,0.0,0.11538461538461539,-0.5897435897435898,-0.6923076923076923,-0.48717948717948717,-0.6474358974358975
-2.0,2,30.0,78,0.04487179487179487,0.04487179487179487,-0.019230769230769232,0.10897435897435898,-1.0256410256410255,-1.1282051282051282,-0.9102564102564102,-1.0705128205128205
-2.0,3,45.0,78,-0.02564102564102564,-0.02564102564102564,-0.10256410256410256,0.04487179487179487,-1.5705128205128205,-1.705128205128205,-1.4293269230769239,-1.544871794871795
-2.0,4,60.0,73,0.0,0.0,-0.07534246575342465,0.0821917808219178,-1.9657534246575343,-2.089041095890411,-1.8285958904109598,-1.9657534246575343
-2.0,5,75.0,62,-0.12903225806451613,-0.12903225806451613,-0.23387096774193547,-0.03225806451612903,-2.4274193548387095,-2.6129032258064515,-2.2096774193548385,-2.2983870967741935
-2.0,6,90.0,49,-0.07142857142857142,-0.07142857142857142,-0.19387755102040816,0.05102040816326531,-2.826530612244898,-3.0714285714285716,-2.5408163265306123,-2.7551020408163267
-2.0,7,105.0,45,-0.06666666666666667,-0.06666666666666667,-0.2,0.05555555555555555,-3.2222222222222223,-3.477777777777778,-2.888888888888889,-3.1555555555555554
-2.0,8,120.0,39,-0.07692307692307693,-0.07692307692307693,-0.20512820512820512,0.05128205128205128,-3.5641025641025643,-3.756730769230769,-3.3846153846153846,-3.4871794871794872
-2.0,9,135.0,31,-0.06451612903225806,-0.06451612903225806,-0.22580645161290322,0.08064516129032258,-3.564516129032258,-3.774193548387097,-3.3548387096774195,-3.5
-1.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
