seed,t0,delta,step_ahead,clock_ahead,baseline_midprice,level_midprice,baseline_delta_p,level_delta_p,response_vs_baseline,level_effect_vs_baseline
100,2,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,-3.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,-3.0,2,30.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,-3.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,-3.0,4,60.0,995.5,996.0,-3.0,-2.5,0.5,0.5
100,2,-3.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,-2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,-2.0,2,30.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,-2.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,-2.0,4,60.0,995.5,996.0,-3.0,-2.5,0.5,0.5
100,2,-2.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,-1.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,-1.0,2,30.0,996.5,997.5,-2.0,-1.0,1.0,1.0
100,2,-1.0,3,45.0,996.5,997.5,-2.0,-1.0,1.0,1.0
100,2,-1.0,4,60.0,995.5,996.5,-3.0,-2.0,1.0,1.0
100,2,-1.0,5,75.0,995.5,996.5,-3.0,-2.0,1.0,1.0
100,2,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,0.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,0.0,2,30.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,0.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,0.0,4,60.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,0.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,1.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,1.0,2,30.0,996.5,997.5,-2.0,-1.0,1.0,1.0
100,2,1.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,1.0,4,60.0,995.5,996.5,-3.0,-2.0,1.0,1.0
100,2,1.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,2.0,2,30.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,2.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,2.0,4,60.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,2.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
100,2,3.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
100,2,3.0,2,30.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,3.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
100,2,3.0,4,60.0,995.5,995.5,-3.0,-3.0,0.0,0.0
100,2,3.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
103,3,-3.0,0,0.0,997.5,997.5,0.0,0.0,0.0,0.0
103,3,-3.0,1,15.0,997.0,997.5,-0.5,0.0,0.5,0.5
103,3,-3.0,2,30.0,996.5,996.5,-1.0,-1.0,0.0,0.0
103,3,-3.0,3,45.0,996.5,996.5,-1.0,-1.0,0.0,0.0
