seed,t0,delta,delta_units,horizon,curve_mode,impulse_mode,strategic_direction,selected_action_index,selected_slack_index,baseline_X,baseline_immediate_midprice,baseline_DeltaP,baseline_future_midprice,inventory_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_before,best_ask_before,X_level,immediate_midprice_level,DeltaP_level,future_midprice_level,planned_market_sell_baseline,planned_market_sell_level,local_treatment_difference,local_immediate_level_difference,local_level_difference,local_outcome_difference,beta_exec_immediate_hat,beta_exec_level_hat,beta_exec_hat,beta_action_immediate_hat,beta_action_level_hat,beta_action_hat,clipped
100,2,-3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,0.0,998.5,-1.0,997.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
100,2,-2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,-1.0,998.5,-1.0,997.5,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
100,2,-1.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,-2.0,998.5,-1.0,997.5,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
100,2,0.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,-3.0,998.5,-1.0,997.5,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,False
100,2,1.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,-4.0,998.5,-1.0,997.5,3.0,4.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
100,2,2.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,-5.0,998.5,-1.0,997.5,3.0,5.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
100,2,3.0,lots,1,symmetric,True,sell,0,1,-3.0,998.5,-1.0,997.5,13.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,998.0,999.0,-6.0,998.5,-1.0,997.5,3.0,6.0,-3.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
103,3,-3.0,lots,1,symmetric,True,sell,0,1,-3.0,997.5,-0.5,997.0,12.0,997.5,1.0,-0.020957224797019062,7.516181204969647,7.837961423602119,997.0,998.0,-2.0,997.5,0.0,997.5,3.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,-0.0,-0.16666666666666666,-0.16666666666666666,False
103,3,-2.0,lots,1,symmetric,True,sell,0,1,-3.0,997.5,-0.5,997.0,12.0,997.5,1.0,-0.020957224797019062,7.516181204969647,7.837961423602119,997.0,998.0,-1.0,997.5,-0.5,997.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
103,3,-1.0,lots,1,symmetric,True,sell,0,1,-3.0,997.5,-0.5,997.0,12.0,997.5,1.0,-0.020957224797019062,7.516181204969647,7.837961423602119,997.0,998.0,-2.0,997.5,-0.5,997.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
