seed,t0,delta,delta_units,intervention_target,branch_from_state,horizon,strategic_direction,baseline_signed_executed_volume,baseline_planned_market_sell,X_plus,X_minus,planned_market_sell_plus,planned_market_sell_minus,local_treatment_difference,DeltaP_plus,DeltaP_minus,local_outcome_difference,beta_action_hat,beta_exec_hat,beta_true_hat,selected_action_index,selected_slack_index,plus_clipped,minus_clipped,market_env,volume,terminal_time,time_delta,drop_feature,policy_kind,fixed_action,action_index,slack_index,adaptive_intervention,intervention_mode,usable_pair,absolute_beta_action_hat,absolute_beta_exec_hat,absolute_beta_true_hat,warnings
100,3,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-2.0,-1.0,-1.0,-0.5,0.5,-0.5,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
101,2,1.0,lots,market,True,3,buy,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,2.0,2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
102,0,1.0,lots,market,True,3,buy,-7.0,5.0,-6.0,-6.0,6.0,4.0,0.0,0.5,0.5,0.0,0.0,,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,,0.0,
103,4,1.0,lots,market,True,3,sell,-5.0,2.0,-6.0,-4.0,3.0,1.0,-2.0,-0.5,-1.5,1.0,0.5,-0.5,0.5,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
104,0,1.0,lots,market,True,3,sell,-5.0,5.0,-6.0,-4.0,6.0,4.0,-2.0,-3.0,-3.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
105,0,1.0,lots,market,True,3,buy,-9.0,3.0,-10.0,-8.0,4.0,2.0,-2.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
106,2,1.0,lots,market,True,3,sell,-6.0,3.0,-4.0,-5.0,4.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
107,0,1.0,lots,market,True,3,buy,-4.0,3.0,-5.0,-3.0,4.0,2.0,-2.0,-0.5,0.0,-0.5,-0.25,0.25,-0.25,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.25,0.25,0.25,
108,2,1.0,lots,market,True,3,buy,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,2.0,2.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
109,6,1.0,lots,market,True,3,sell,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,-0.5,-2.0,1.5,0.75,-0.75,0.75,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.75,0.75,0.75,
110,4,1.0,lots,market,True,3,sell,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,-1.0,-1.5,0.5,0.25,-0.25,0.25,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.25,0.25,0.25,
111,2,1.0,lots,market,True,3,buy,-4.0,1.0,-5.0,-3.0,2.0,0.0,-2.0,2.0,2.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
112,1,1.0,lots,market,True,3,buy,-8.0,3.0,-9.0,-7.0,4.0,2.0,-2.0,1.0,1.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
113,3,1.0,lots,market,True,3,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,1.0,-1.0,-0.5,0.5,-0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
114,2,1.0,lots,market,True,3,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.5,0.5,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
115,3,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
116,0,1.0,lots,market,True,3,buy,-11.0,3.0,-12.0,-10.0,4.0,2.0,-2.0,0.5,0.5,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
117,4,1.0,lots,market,True,3,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,1.0,-1.0,-0.5,0.5,-0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
118,2,1.0,lots,market,True,3,buy,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,1.5,1.0,0.5,0.25,-0.25,0.25,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.25,0.25,0.25,
119,0,1.0,lots,market,True,3,buy,-10.0,4.0,-11.0,-10.0,5.0,3.0,-1.0,0.5,0.5,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
120,2,1.0,lots,market,True,3,buy,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,1.0,1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
121,2,1.0,lots,market,True,3,buy,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,1.5,1.0,0.5,0.25,-0.25,0.25,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.25,0.25,0.25,
122,4,1.0,lots,market,True,3,sell,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
123,1,1.0,lots,market,True,3,buy,-6.0,2.0,-7.0,-5.0,3.0,1.0,-2.0,2.0,2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
124,2,1.0,lots,market,True,3,sell,-6.0,3.0,-4.0,-2.0,4.0,2.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
125,3,1.0,lots,market,True,3,buy,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,1.0,0.0,1.0,0.5,-0.5,0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
126,0,1.0,lots,market,True,3,buy,-3.0,3.0,-4.0,-2.0,4.0,2.0,-2.0,1.0,1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
127,4,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-2.0,3.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
128,4,1.0,lots,market,True,3,sell,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
129,4,1.0,lots,market,True,3,sell,-3.0,2.0,-4.0,-2.0,3.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
130,3,1.0,lots,market,True,3,sell,-5.0,2.0,-6.0,-4.0,3.0,1.0,-2.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,4,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
131,2,1.0,lots,market,True,3,buy,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,1.5,1.5,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
132,5,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
133,5,1.0,lots,market,True,3,sell,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,-1.0,1.0,0.5,-0.5,0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
134,0,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
135,1,1.0,lots,market,True,3,buy,-5.0,2.0,-6.0,-4.0,3.0,1.0,-2.0,1.0,2.0,-1.0,-0.5,0.5,-0.5,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
136,0,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
137,3,1.0,lots,market,True,3,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,1.0,-1.0,-0.5,0.5,-0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
138,0,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
139,1,1.0,lots,market,True,3,buy,-7.0,3.0,-8.0,-6.0,4.0,2.0,-2.0,1.0,1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
140,1,1.0,lots,market,True,3,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
141,3,1.0,lots,market,True,3,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,1.5,-1.5,-0.75,0.75,-0.75,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.75,0.75,0.75,
