episode_id,run_label,seed,decision_index,clock_time,next_clock_time,policy_name,proposed_action,actual_action,inventory_before,inventory_after,active_volume_before,active_volume_after,executed_market_order_volume,executed_limit_order_volume,executed_market_buy_volume,executed_limit_buy_volume,signed_executed_volume,reward_step,reward_cumulative,drift_after,strategic_direction,terminated,intervened,intervention_time,delta,delta_units,intervention_target,direction,clipped,clip_reason,selected_action_index,selected_action_before,selected_action_after,slack_action_index,slack_action_before,slack_action_after,requested_delta,realized_delta,planned_market_sell_before,planned_market_sell_after,planned_active_sell_before,planned_active_sell_after,best_bid_before,best_ask_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_after,best_ask_after,midprice_after,spread_after,imbalance_after,bid_depth_after,ask_depth_after,future_midprice,delta_p_horizon,horizon,pair_seed,pair_t0,pair_label
episode_91e76c8f,baseline,100,0,0.0,15.0,heuristic_sell_policy,"[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]","[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]",20.0,18.0,0.0,17.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,19.0,19.0,999.0,1000.0,999.5,1.0,0.2817300756771457,8.531965511484378,4.781236188923392,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,997.5,-2.0,3,100,3,baseline
episode_91e76c8f,baseline,100,1,15.0,30.0,heuristic_sell_policy,"[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]","[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]",18.0,13.0,17.0,13.0,5.0,0.0,0.0,0.0,-5.0,-0.15,-0.15,-2.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,5.0,5.0,18.0,18.0,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,996.5,-3.0,3,100,3,baseline
episode_91e76c8f,baseline,100,2,30.0,45.0,heuristic_sell_policy,"[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]","[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]",13.0,10.0,13.0,10.0,3.0,0.0,0.0,0.0,-3.0,-0.15,-0.3,-3.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,3.0,3.0,13.0,13.0,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,996.5,-2.0,3,100,3,baseline
episode_91e76c8f,baseline,100,3,45.0,60.0,heuristic_sell_policy,"[0.21612012195641161,0.3554326835136855,0.1714906933420372,0.09532960887376671,0.06759760711681088,0.06162619492767739,0.03240309026961068]","[0.21612012195641161,0.3554326835136855,0.1714906933420372,0.09532960887376671,0.06759760711681088,0.06162619492767739,0.03240309026961068]",10.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,-2.0,-0.2,-0.5,-4.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,10.0,10.0,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,996.0,997.0,996.5,1.0,0.4505109061658418,11.3659343323926,4.305694586877442,995.5,-2.0,3,100,3,baseline
episode_91e76c8f,baseline,100,4,60.0,75.0,heuristic_sell_policy,"[0.2400853851935715,0.34815694973514877,0.16831262820766804,0.09404292913309088,0.0672109658023437,0.06169415113343812,0.020496990794738948]","[0.2400853851935715,0.34815694973514877,0.16831262820766804,0.09404292913309088,0.0672109658023437,0.06169415113343812,0.020496990794738948]",8.0,3.0,8.0,3.0,2.0,3.0,0.0,0.0,-5.0,-0.6,-1.1,-4.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,8.0,8.0,996.0,997.0,996.5,1.0,0.4505109061658418,11.3659343323926,4.305694586877442,996.0,997.0,996.5,1.0,0.35468229559428216,8.904500263326133,4.241755936058004,995.5,-1.0,3,100,3,baseline
episode_91e76c8f,baseline,100,5,75.0,90.0,heuristic_sell_policy,"[0.2617571738763319,0.3143386374097249,0.15544317313699446,0.0918673139795357,0.07112131424858453,0.0696200108870323,0.03585237646179627]","[0.2617571738763319,0.3143386374097249,0.15544317313699446,0.0918673139795357,0.07112131424858453,0.0696200108870323,0.03585237646179627]",3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0,-0.15,-1.25,-5.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,1.0,1.0,2.0,2.0,996.0,997.0,996.5,1.0,0.35468229559428216,8.904500263326133,4.241755936058004,995.0,996.0,995.5,1.0,0.470818220589878,11.900498550824762,4.281648752262108,995.5,-1.0,3,100,3,baseline
episode_91e76c8f,baseline,100,6,90.0,104.51684658388399,heuristic_sell_policy,"[0.2947353922975497,0.3140712830477931,0.15401339157921531,0.08919403306623074,0.06716810591022676,0.06437050693687629,0.016447287162108304]","[0.2947353922975497,0.3140712830477931,0.15401339157921531,0.08919403306623074,0.06716810591022676,0.06437050693687629,0.016447287162108304]",2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-0.35,-1.5999999999999999,-5.0,sell,True,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,1.0,1.0,2.0,2.0,995.0,996.0,995.5,1.0,0.470818220589878,11.900498550824762,4.281648752262108,995.0,996.0,995.5,1.0,0.30680893735932135,11.042904763438985,5.857660342510574,995.5,0.0,3,100,3,baseline
episode_91e76c8f,baseline,100,0,0.0,15.0,heuristic_sell_policy,"[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]","[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]",20.0,18.0,0.0,17.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,19.0,19.0,999.0,1000.0,999.5,1.0,0.2817300756771457,8.531965511484378,4.781236188923392,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,997.5,-2.0,3,100,3,plus
episode_91e76c8f,baseline,100,1,15.0,30.0,heuristic_sell_policy,"[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]","[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]",18.0,13.0,17.0,13.0,5.0,0.0,0.0,0.0,-5.0,-0.15,-0.15,-2.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,5.0,5.0,18.0,18.0,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,996.5,-3.0,3,100,3,plus
episode_91e76c8f,baseline,100,2,30.0,45.0,heuristic_sell_policy,"[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]","[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]",13.0,10.0,13.0,10.0,3.0,0.0,0.0,0.0,-3.0,-0.15,-0.3,-3.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,3.0,3.0,13.0,13.0,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,997.0,-1.5,3,100,3,plus
episode_91e76c8f,plus,100,3,45.0,60.0,heuristic_sell_policy,"[0.21612012195641161,0.3554326835136855,0.1714906933420372,0.09532960887376671,0.06759760711681088,0.06162619492767739,0.03240309026961068]","[0.30000000000000004,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.0,0.0,0.0]",10.0,7.0,10.0,7.0,3.0,0.0,0.0,0.0,-3.0,-0.3,-0.6,-4.0,sell,False,True,3.0,1.0,lots,market,plus,False,,0.0,0.21612012195641161,0.30000000000000004,4.0,0.06759760711681088,0.0,1.0,1.0,2.0,3.0,10.0,10.0,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,996.0,997.0,996.5,1.0,0.33294489846888015,10.32693161603373,5.167979880902135,995.5,-2.0,3,100,3,plus
episode_91e76c8f,plus,100,4,60.0,75.0,heuristic_sell_policy,"[0.2469130153827325,0.33803431480495166,0.16444350727842127,0.09335774866390409,0.06833047749380688,0.063998618775917,0.024922317600266707]","[0.2469130153827325,0.33803431480495166,0.16444350727842127,0.09335774866390409,0.06833047749380688,0.063998618775917,0.024922317600266707]",7.0,2.0,7.0,1.0,2.0,3.0,0.0,0.0,-5.0,-0.55,-1.15,-3.5,sell,False,False,3.0,1.0,lots,market,plus,False,,0.0,0.2469130153827325,0.2469130153827325,4.0,0.06833047749380688,0.06833047749380688,1.0,0.0,2.0,2.0,6.0,6.0,996.0,997.0,996.5,1.0,0.33294489846888015,10.32693161603373,5.167979880902135,996.0,998.0,997.0,2.0,0.2382918112598229,4.8403776689241536,2.977452708230021,995.5,-1.0,3,100,3,plus
episode_91e76c8f,plus,100,5,75.0,90.0,heuristic_sell_policy,"[0.2652662674621045,0.2941998973403753,0.14817493152781364,0.09136272769234657,0.07463640178208368,0.07592182187568221,0.05043795231959417]","[0.2652662674621045,0.2941998973403753,0.14817493152781364,0.09136272769234657,0.07463640178208368,0.07592182187568221,0.05043795231959417]",2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-0.15,-1.2999999999999998,-5.0,sell,False,False,3.0,1.0,lots,market,plus,False,,0.0,0.2652662674621045,0.2652662674621045,4.0,0.07463640178208368,0.07463640178208368,1.0,0.0,1.0,1.0,2.0,2.0,996.0,998.0,997.0,2.0,0.2382918112598229,4.8403776689241536,2.977452708230021,995.0,996.0,995.5,1.0,0.5153353331263683,12.07712135652966,3.8627450116790363,995.5,-1.5,3,100,3,plus
episode_91e76c8f,plus,100,6,90.0,105.0,heuristic_sell_policy,"[0.28653571600100597,0.3139567259785187,0.15474720715567994,0.0907414831643006,0.06951358168456938,0.0675069948811874,0.016998291134738018]","[0.28653571600100597,0.3139567259785187,0.15474720715567994,0.0907414831643006,0.06951358168456938,0.0675069948811874,0.016998291134738018]",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2999999999999998,-5.0,sell,False,False,3.0,1.0,lots,market,plus,False,,0.0,0.28653571600100597,0.28653571600100597,4.0,0.06951358168456938,0.06951358168456938,1.0,0.0,0.0,0.0,0.0,0.0,995.0,996.0,995.5,1.0,0.5153353331263683,12.07712135652966,3.8627450116790363,995.0,996.0,995.5,1.0,0.3392366081024372,10.617549822906387,5.238572625762905,995.0,-0.5,3,100,3,plus
episode_91e76c8f,plus,100,7,105.0,120.0,heuristic_sell_policy,"[0.32079309966564473,0.3021917845622296,0.14815452352225444,0.08575347307005166,0.06452722619688021,0.061802011163605,0.01677788181933438]","[0.32079309966564473,0.3021917845622296,0.14815452352225444,0.08575347307005166,0.06452722619688021,0.061802011163605,0.01677788181933438]",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2999999999999998,-5.0,sell,False,False,3.0,1.0,lots,market,plus,False,,0.0,0.32079309966564473,0.32079309966564473,4.0,0.06452722619688021,0.06452722619688021,1.0,0.0,0.0,0.0,0.0,0.0,995.0,996.0,995.5,1.0,0.3392366081024372,10.617549822906387,5.238572625762905,995.0,996.0,995.5,1.0,0.09429527893330517,7.796007722650204,6.452445821350424,994.5,-1.0,3,100,3,plus
episode_91e76c8f,plus,100,8,120.0,135.0,heuristic_sell_policy,"[0.38422652216496145,0.2751913223093275,0.13427938882055254,0.07681608382310605,0.05684866462267106,0.05372923294606491,0.018908785313316516]","[0.38422652216496145,0.2751913223093275,0.13427938882055254,0.07681608382310605,0.05684866462267106,0.05372923294606491,0.018908785313316516]",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2999999999999998,-5.5,sell,False,False,3.0,1.0,lots,market,plus,False,,0.0,0.38422652216496145,0.38422652216496145,4.0,0.05684866462267106,0.05684866462267106,1.0,0.0,0.0,0.0,0.0,0.0,995.0,996.0,995.5,1.0,0.09429527893330517,7.796007722650204,6.452445821350424,994.0,996.0,995.0,2.0,0.38064535957894896,6.105992621615046,2.739135606646513,994.5,-1.0,3,100,3,plus
episode_91e76c8f,plus,100,9,135.0,150.0,heuristic_sell_policy,"[0.40233828159387824,0.2670411984505011,0.13035056563866387,0.0746371292528336,0.05530909265421776,0.052330070050982,0.01799366235892335]","[0.4023382815938783,0.26704119845050117,0.1303505656386639,0.07463712925283361,0.05530909265421777,0.05233007005098201,0.017993662358923353]",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2999999999999998,-6.0,sell,False,False,3.0,1.0,lots,market,plus,False,,0.0,0.4023382815938783,0.4023382815938783,4.0,0.05530909265421777,0.05530909265421777,1.0,0.0,0.0,0.0,0.0,0.0,994.0,996.0,995.0,2.0,0.38064535957894896,6.105992621615046,2.739135606646513,994.0,995.0,994.5,1.0,0.3666249865603998,12.341620504431056,5.7198383826820125,994.5,-0.5,3,100,3,plus
episode_91e76c8f,plus,100,10,150.0,150.0,heuristic_sell_policy,"[0.40766791275454745,0.2767385617953132,0.13264556799187052,0.07247038539950797,0.050001905989604606,0.0444761404609512,0.015999525608204987]","[0.4076679127545475,0.27673856179531325,0.13264556799187055,0.07247038539950798,0.05000190598960461,0.044476140460951205,0.01599952560820499]",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.25,-1.5499999999999998,-6.0,sell,True,False,3.0,1.0,lots,market,plus,False,,0.0,0.4076679127545475,0.4076679127545475,4.0,0.05000190598960461,0.05000190598960461,1.0,0.0,0.0,0.0,0.0,0.0,994.0,995.0,994.5,1.0,0.3666249865603998,12.341620504431056,5.7198383826820125,994.0,995.0,994.5,1.0,0.3576125906749284,12.088226656113182,5.7198383826820125,994.5,0.0,3,100,3,plus
episode_91e76c8f,baseline,100,0,0.0,15.0,heuristic_sell_policy,"[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]","[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]",20.0,18.0,0.0,17.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,19.0,19.0,999.0,1000.0,999.5,1.0,0.2817300756771457,8.531965511484378,4.781236188923392,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,997.5,-2.0,3,100,3,minus
episode_91e76c8f,baseline,100,1,15.0,30.0,heuristic_sell_policy,"[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]","[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]",18.0,13.0,17.0,13.0,5.0,0.0,0.0,0.0,-5.0,-0.15,-0.15,-2.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,5.0,5.0,18.0,18.0,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,996.5,-3.0,3,100,3,minus
episode_91e76c8f,baseline,100,2,30.0,45.0,heuristic_sell_policy,"[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]","[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]",13.0,10.0,13.0,10.0,3.0,0.0,0.0,0.0,-3.0,-0.15,-0.3,-3.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,3.0,3.0,13.0,13.0,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,996.5,-2.0,3,100,3,minus
episode_91e76c8f,minus,100,3,45.0,60.0,heuristic_sell_policy,"[0.21612012195641161,0.3554326835136855,0.1714906933420372,0.09532960887376671,0.06759760711681088,0.06162619492767739,0.03240309026961068]","[0.1,0.4,0.2,0.1,0.2,0.0,0.0]",10.0,9.0,10.0,9.0,1.0,0.0,0.0,0.0,-1.0,-0.1,-0.4,-4.0,sell,False,True,3.0,1.0,lots,market,minus,False,,0.0,0.21612012195641161,0.1,4.0,0.06759760711681088,0.2,1.0,-1.0,2.0,1.0,10.0,10.0,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,996.0,997.0,996.5,1.0,0.34816938815220866,11.025259160794972,5.330636852993197,996.5,-1.0,3,100,3,minus
