metric,value
n_runs,189.0
n_usable_pairs,189.0
n_support_pairs,184.0
usable_pair_rate,1.0
support_pair_rate,0.9735449735449735
min_abs_treatment_diff,1.0
mean_beta_action_hat,0.009510869565217392
median_beta_action_hat,0.0
beta_action_hat_stderr,0.02439932694662846
beta_action_hat_ci95_low,-0.03831181125017439
beta_action_hat_ci95_high,0.05733355038060917
beta_action_hat_boot_ci95_low,-0.036684782608695655
beta_action_hat_boot_ci95_high,0.059782608695652176
mean_beta_action_hat_all_runs,0.011904761904761904
nonzero_beta_action_hat_rate,0.3804347826086957
mean_beta_exec_hat,-0.02050983436853002
median_beta_exec_hat,0.0
beta_exec_hat_stderr,0.024769240137160097
beta_exec_hat_ci95_low,-0.0690575450373638
beta_exec_hat_ci95_high,0.028037876300303768
beta_exec_hat_boot_ci95_low,-0.0710452251552795
beta_exec_hat_boot_ci95_high,0.028996829710144868
mean_beta_exec_hat_all_runs,-0.020509834368530024
nonzero_beta_exec_hat_rate,0.3804347826086957
beta_exec_pool_hat,-0.00576036866359447
beta_exec_pool_boot_ci95_low,-0.04947877766233694
beta_exec_pool_boot_ci95_high,0.03560532138310986
mean_beta_true_hat,0.009510869565217392
median_beta_true_hat,0.0
beta_true_hat_stderr,0.02439932694662846
beta_true_hat_ci95_low,-0.03831181125017439
beta_true_hat_ci95_high,0.05733355038060917
beta_true_hat_boot_ci95_low,-0.03804347826086957
beta_true_hat_boot_ci95_high,0.058423913043478264
mean_local_treatment_difference,-1.9565217391304348
mean_local_outcome_difference,0.019021739130434784
mean_X_plus,-4.929347826086956
mean_X_minus,-2.972826086956522
mean_planned_market_sell_plus,3.0760869565217392
mean_planned_market_sell_minus,1.076086956521739
mean_DeltaP_plus,-0.48641304347826086
mean_DeltaP_minus,-0.5054347826086957
treatment_changed_rate,0.9735449735449735
outcome_changed_rate,0.37566137566137564
zero_outcome_given_treatment_change_rate,0.6031746031746031
plus_clip_rate,0.0
minus_clip_rate,0.0
mean_t0,1.7037037037037037
min_t0,0.0
max_t0,5.0
